date,open,high,low,close
2020-12-02,ESZ20,3661.25,3672.75,3642.25
2020-12-03,ESZ20,3671.0,3682.0,3655.25
2020-12-04,ESZ20,3668.25,3700.0,3665.5
2020-12-07,ESZ20,3694.75,3705.0,3672.25
2020-12-08,ESZ20,3682.75,3708.0,3664.25
2020-12-09,ESZ20,3707.75,3714.75,3659.5
2020-12-10,ESZ20,3669.5,3681.25,3644.0
2020-12-11,ESZ20,3670.0,3674.75,3628.25
2020-12-14,ESH21,3670.0,3691.5,3637.5
2020-12-15,ESH21,3647.0,3688.5,3636.25
2020-12-16,ESH21,3689.75,3704.5,3680.0
2020-12-17,ESH21,3697.0,3717.5,3692.0
2020-12-18,ESH21,3713.0,3723.0,3677.25
2020-12-21,ESH21,3718.25,3724.0,3596.0
2020-12-22,ESH21,3685.0,3695.0,3663.75
2020-12-23,ESH21,3674.25,3701.75,3651.0
2020-12-24,ESH21,3685.25,3696.0,3678.5
2020-12-28,ESH21,3682.0,3732.25,3676.0
2020-12-29,ESH21,3731.0,3747.75,3714.5
2020-12-30,ESH21,3724.5,3738.25,3716.5
2020-12-31,ESH21,3725.0,3753.0,3715.0
2021-01-04,ESH21,3748.75,3773.25,3652.5
2021-01-05,ESH21,3695.0,3730.0,3673.25
2021-01-06,ESH21,3717.5,3774.75,3685.5
2021-01-07,ESH21,3752.5,3804.0,3742.0
2021-01-08,ESH21,3797.75,3824.5,3775.0
2021-01-11,ESH21,3815.5,3820.75,3776.5
2021-01-12,ESH21,3794.25,3806.75,3768.0
2021-01-13,ESH21,3792.0,3813.5,3776.5
2021-01-14,ESH21,3808.5,3817.75,3786.25
2021-01-15,ESH21,3793.0,3797.75,3741.5
2021-01-19,ESH21,3750.0,3797.0,3740.5
2021-01-20,ESH21,3796.75,3852.5,3788.5
2021-01-21,ESH21,3841.5,3859.75,3836.5
2021-01-22,ESH21,3846.75,3849.0,3813.25
2021-01-25,ESH21,3835.5,3853.25,3788.5
2021-01-26,ESH21,3845.0,3862.25,3821.5
2021-01-27,ESH21,3845.25,3853.0,3706.5
2021-01-28,ESH21,3735.25,3823.5,3703.5
2021-01-29,ESH21,3770.25,3777.25,3685.5
2021-02-01,ESH21,3692.25,3777.0,3656.5
2021-02-02,ESH21,3764.75,3835.75,3760.0
2021-02-03,ESH21,3829.5,3843.5,3807.75
2021-02-04,ESH21,3832.75,3869.75,3811.25
2021-02-05,ESH21,3864.25,3888.25,3860.0
2021-02-08,ESH21,3889.0,3911.25,3885.5
2021-02-09,ESH21,3910.5,3913.25,3895.0
2021-02-10,ESH21,3912.25,3928.5,3878.25
2021-02-11,ESH21,3907.0,3920.5,3884.5
2021-02-12,ESH21,3905.25,3936.25,3890.25
2021-02-16,ESH21,3936.5,3959.25,3918.75
2021-02-17,ESH21,3929.0,3932.25,3896.5
2021-02-18,ESH21,3928.25,3936.0,3880.5
2021-02-19,ESH21,3910.5,3931.0,3890.25
2021-02-22,ESH21,3905.5,3914.5,3861.25
2021-02-23,ESH21,3878.0,3896.0,3804.75
2021-02-24,ESH21,3876.25,3927.75,3851.75
2021-02-25,ESH21,3923.5,3934.5,3810.25
2021-02-26,ESH21,3823.25,3858.5,3785.0
2021-03-01,ESH21,3817.25,3912.0,3812.5
2021-03-02,ESH21,3903.25,3906.5,3865.5
2021-03-03,ESH21,3867.5,3898.0,3813.0
2021-03-04,ESH21,3818.0,3842.25,3720.5
2021-03-05,ESH21,3765.5,3850.0,3728.5
2021-03-08,ESH21,3854.75,3878.75,3796.25
2021-03-09,ESH21,3831.25,3901.25,3826.25
2021-03-10,ESH21,3878.5,3916.25,3856.25
2021-03-11,ESH21,3907.75,3958.5,3893.0
2021-03-12,ESH21,3937.5,3947.5,3910.25
2021-03-15,ESM21,3937.5,3960.25,3913.0
2021-03-16,ESM21,3957.75,3970.75,3942.75
2021-03-17,ESM21,3957.25,3973.5,3925.0
2021-03-18,ESM21,3962.0,3978.5,3900.5
2021-03-19,ESM21,3910.75,3923.5,3875.0
2021-03-22,ESM21,3893.5,3944.5,3885.0
2021-03-23,ESM21,3933.25,3938.75,3890.5
2021-03-24,ESM21,3905.75,3931.5,3877.5
2021-03-25,ESM21,3882.75,3909.5,3843.25
2021-03-26,ESM21,3907.5,3968.0,3900.75
2021-03-29,ESM21,3962.25,3971.25,3928.75
2021-03-30,ESM21,3965.25,3968.5,3933.75
2021-03-31,ESM21,3949.5,3983.75,3941.5
2021-04-01,ESM21,3967.5,4015.25,3964.5
2021-04-05,ESM21,4030.0,4073.75,4021.0
2021-04-06,ESM21,4069.75,4076.0,4052.25
2021-04-07,ESM21,4067.0,4075.5,4056.5
2021-04-08,ESM21,4074.25,4098.5,4072.5
2021-04-09,ESM21,4098.0,4121.5,4081.0
2021-04-12,ESM21,4114.25,4124.5,4104.5
2021-04-13,ESM21,4122.75,4139.75,4101.25
2021-04-14,ESM21,4134.75,4144.0,4113.0
2021-04-15,ESM21,4123.5,4166.5,4119.5
2021-04-16,ESM21,4162.75,4183.5,4154.25
2021-04-19,ESM21,4165.0,4174.75,4141.75
2021-04-20,ESM21,4156.25,4167.25,4110.5
2021-04-21,ESM21,4121.25,4167.25,4113.0
2021-04-22,ESM21,4157.5,4171.75,4115.25
2021-04-23,ESM21,4129.0,4186.75,4127.5
2021-04-26,ESM21,4170.75,4186.0,4163.75
2021-04-27,ESM21,4181.5,4192.5,4166.75
2021-04-28,ESM21,4180.25,4193.75,4172.75
2021-04-29,ESM21,4184.75,4211.0,4168.0
2021-04-30,ESM21,4200.75,4201.5,4167.25
2021-05-03,ESM21,4181.5,4202.5,4181.0
2021-05-04,ESM21,4184.25,4185.5,4120.5
2021-05-05,ESM21,4158.25,4180.0,4153.0
2021-05-06,ESM21,4158.75,4197.25,4140.5
2021-05-07,ESM21,4197.5,4232.25,4191.75
2021-05-10,ESM21,4226.75,4238.25,4172.0
2021-05-11,ESM21,4176.75,4185.5,4103.75
2021-05-12,ESM21,4140.0,4150.5,4051.0
2021-05-13,ESM21,4053.5,4126.75,4029.25
2021-05-14,ESM21,4112.5,4178.25,4105.25
2021-05-17,ESM21,4169.0,4178.75,4136.5
2021-05-18,ESM21,4159.0,4179.5,4111.5
2021-05-19,ESM21,4114.0,4123.0,4055.5
2021-05-20,ESM21,4107.75,4169.25,4084.5
2021-05-21,ESM21,4152.5,4185.0,4147.0
2021-05-24,ESM21,4151.5,4206.25,4142.5
2021-05-25,ESM21,4199.25,4212.75,4179.25
2021-05-26,ESM21,4188.0,4204.25,4180.5
2021-05-27,ESM21,4193.0,4211.5,4177.75
2021-05-28,ESM21,4211.25,4217.5,4201.0
2021-06-01,ESM21,4206.5,4230.0,4190.0
2021-06-02,ESM21,4198.5,4215.0,4190.75
2021-06-03,ESM21,4208.0,4213.25,4165.25
2021-06-04,ESM21,4190.75,4232.0,4177.0
2021-06-07,ESM21,4232.25,4232.5,4214.0
2021-06-08,ESM21,4227.5,4236.75,4205.75
2021-06-09,ESM21,4225.5,4235.0,4217.0
2021-06-10,ESM21,4222.25,4249.0,4207.0
2021-06-11,ESM21,4239.5,4247.75,4230.75
2021-06-14,ESU21,4238.5,4248.5,4224.5
2021-06-15,ESU21,4246.25,4258.25,4228.25
2021-06-16,ESU21,4238.0,4241.5,4190.25
2021-06-17,ESU21,4204.25,4222.75,4183.0
2021-06-18,ESU21,4216.0,4220.0,4140.75
2021-06-21,ESU21,4142.5,4219.75,4126.75
2021-06-22,ESU21,4219.25,4245.5,4205.75
2021-06-23,ESU21,4237.5,4248.25,4230.5
2021-06-24,ESU21,4233.75,4263.75,4231.75
2021-06-25,ESU21,4262.0,4276.75,4253.5
2021-06-28,ESU21,4275.0,4282.0,4264.25
2021-06-29,ESU21,4280.5,4291.0,4271.75
2021-06-30,ESU21,4284.75,4294.25,4269.25
2021-07-01,ESU21,4294.25,4312.0,4286.0
2021-07-02,ESU21,4309.75,4347.0,4308.0
2021-07-06,ESU21,4341.0,4348.0,4305.25
2021-07-07,ESU21,4328.0,4353.25,4320.25
2021-07-08,ESU21,4352.25,4352.25,4279.25
2021-07-09,ESU21,4310.25,4364.0,4293.25
2021-07-12,ESU21,4362.0,4379.25,4341.75
2021-07-13,ESU21,4377.0,4383.75,4356.5
2021-07-14,ESU21,4359.5,4384.5,4350.0
2021-07-15,ESU21,4366.5,4370.25,4332.5
2021-07-16,ESU21,4347.75,4368.0,4314.25
2021-07-19,ESU21,4320.0,4320.75,4224.0
2021-07-20,ESU21,4262.75,4329.0,4252.75
2021-07-21,ESU21,4318.75,4355.25,4310.0
2021-07-22,ESU21,4355.0,4371.5,4341.5
2021-07-23,ESU21,4371.5,4408.25,4367.25
2021-07-26,ESU21,4400.5,4416.75,4375.5
2021-07-27,ESU21,4415.75,4416.0,4364.75
2021-07-28,ESU21,4380.0,4407.75,4377.5
2021-07-29,ESU21,4393.75,4422.5,4380.5
2021-07-30,ESU21,4394.25,4405.0,4370.75
2021-08-02,ESU21,4396.5,4419.75,4377.25
2021-08-03,ESU21,4383.75,4417.0,4365.25
2021-08-04,ESU21,4409.75,4415.0,4391.25
2021-08-05,ESU21,4396.25,4422.75,4393.75
2021-08-06,ESU21,4420.25,4433.25,4416.0
2021-08-09,ESU21,4428.0,4432.0,4412.25
2021-08-10,ESU21,4427.25,4438.25,4416.5
2021-08-11,ESU21,4429.25,4443.25,4420.75
2021-08-12,ESU21,4440.0,4456.25,4430.25
2021-08-13,ESU21,4455.75,4463.25,4451.0
2021-08-16,ESU21,4456.25,4476.5,4432.5
2021-08-17,ESU21,4472.0,4472.25,4411.75
2021-08-18,ESU21,4436.75,4449.75,4381.5
2021-08-19,ESU21,4389.75,4414.75,4347.75
2021-08-20,ESU21,4403.75,4440.5,4371.75
2021-08-23,ESU21,4435.0,4485.75,4433.5
2021-08-24,ESU21,4481.0,4492.0,4476.75
2021-08-25,ESU21,4483.5,4498.0,4476.25
2021-08-26,ESU21,4493.75,4494.25,4465.0
2021-08-27,ESU21,4470.0,4510.0,4462.25
2021-08-30,ESU21,4508.75,4534.5,4500.75
2021-08-31,ESU21,4529.5,4542.25,4512.5
2021-09-01,ESU21,4527.75,4540.0,4519.25
2021-09-02,ESU21,4522.5,4544.0,4516.0
2021-09-03,ESU21,4536.75,4549.5,4519.25
2021-09-07,ESU21,4533.0,4548.0,4510.75
2021-09-08,ESU21,4517.5,4524.75,4492.0
