date,open,high,low,close
2020-11-30,435.25,439.5,424.25,426.0
2020-12-01,426.5,429.0,420.25,420.75
2020-12-02,420.75,424.75,414.5,423.75
2020-12-03,424.0,427.5,422.0,426.5
2020-12-04,426.0,426.75,419.25,420.5
2020-12-07,419.5,425.25,415.25,424.0
2020-12-08,422.5,424.5,418.5,419.75
2020-12-09,420.0,424.5,419.75,423.75
2020-12-10,423.75,427.5,420.5,421.25
2020-12-11,422.0,424.5,418.0,423.5
2020-12-14,423.5,428.5,421.25,424.0
2020-12-15,424.0,425.25,420.5,424.75
2020-12-16,425.25,429.25,423.75,427.25
2020-12-17,426.25,433.0,424.25,432.5
2020-12-18,432.25,438.5,432.0,437.5
2020-12-21,438.0,440.75,430.25,440.0
2020-12-22,440.0,444.25,437.25,443.5
2020-12-23,442.75,449.75,441.5,447.25
2020-12-24,446.75,451.5,446.5,451.0
2020-12-28,452.0,457.5,448.0,456.5
2020-12-29,455.75,467.25,453.5,466.0
2020-12-30,466.0,476.0,462.0,474.5
2020-12-31,474.0,485.75,473.0,484.0
2021-01-04,487.25,497.75,479.5,483.75
2021-01-05,484.5,496.0,482.5,491.75
2021-01-06,492.5,502.75,491.5,495.0
2021-01-07,495.0,496.0,487.25,494.0
2021-01-08,494.0,499.5,492.5,496.25
2021-01-11,496.5,500.5,490.25,492.25
2021-01-12,491.5,517.25,489.25,517.25
2021-01-13,524.0,541.5,522.25,524.5
2021-01-14,523.0,536.5,519.0,534.25
2021-01-15,534.0,536.5,527.75,531.5
2021-01-19,531.5,534.25,523.25,526.0
2021-01-20,525.0,526.5,512.75,522.0
2021-01-21,521.0,531.5,519.25,524.25
2021-01-22,522.5,522.75,499.25,500.5
2021-01-25,500.0,515.5,492.5,511.5
2021-01-26,513.0,534.25,508.0,532.25
2021-01-27,532.5,543.75,529.5,534.0
2021-01-28,533.25,550.5,529.0,534.5
2021-01-29,534.5,553.75,533.25,547.0
2021-02-01,549.0,555.75,539.0,549.25
2021-02-02,549.75,552.5,540.25,543.0
2021-02-03,543.25,552.5,536.5,552.0
